"id_restaurant","name","address","lat","lng","kind_food"
"1","Tequila Cantina Mexicana","Carrer de Bilbao, 13. 08005 Barcelona","41.40086400","2.20624000","Mexican,Take Away"
"2","Bar La Gamba","Plaça de Maragall, 13. 08027 Barcelona","41.42063000","2.18108500","Tapas,Tasca,Gallego,Take Away"
"3","Restaurant L'Ona","Carretera Km. 638.5, N-II","41.49176700","2.36899800","Mediterranean,Catalan"
"4","Kiku Chan","Carrer de Numància, 133. 08029 Barcelona","41.38723800","2.13469200","Japanese,Noodles,Udon"
"5","Món Việt","Carrer de Sepúlveda, 94. 08015 Barcelona","41.37915800","2.15730200","Vietnamese,Vegan"
"6","La Taguara Areperia","Carrer del Rec, 10. 08003 Barcelona","41.38608900","2.18205200","Vegan,Areperia"
"7","El Argentino","C/ d'Aragó, 224. 08011 Barcelona","41.38835700","2.16008700","Argentinian"
"8","Restaurante Shiraz","Carrer de Calàbria, 144, local. 08015 Barcelona","41.38173200","2.15249400","Persian"
"9","Boston Pizza Numancia","Carrer de Numància, 94. 08029 Barcelona","41.38577000","2.13713000","Pizzeria,Take Away"
"10","Tapas 24","Carrer de la Diputació, 269. 08007 Barcelona","41.39105400","2.16740400","Tapas"
"11","Akashi Gallery","Carrer del Rosselló, 197. 08036 Barcelona","41.39220800","2.15590100","Japanese,Sushi"
"12","Las Mañanitas","Gran Via de les Corts Catalanes, 715. 08013 Barcelona","41.39771500","2.17911700","Mexican,Tacos"
"13","Redpizza","Passeig Comte de Vilardaga, 130. 08980 Sant Feliu de Llobregat, Barcelona","41.38683300","2.05470900","Pizzeria,Vegatarian,Take Away"
"14","Ateneu","Carrer de l'Ateneu, 3. 08960 Sant Just Desvern, Barcelona","41.38181800","2.07679800","Take Away"
"15","UliUli - Poke Bowls & Healthy Food
","Carrer de les Ciències, 17. 08908 L'Hospitalet, Barcelona","41.35831900","2.13105800","Mediterranean,Vegatarian,Take Away"
